timestamp_seconds,sensor_time_seconds,measurement,unit,value,raw
5.533,9045.090,velocity_cmps,cmps,-48.5,"9045.090,""cmps"",-48.5"
5.544,9045.149,distance_cm,cm,111.4,"9045.149,""cm"",111.4"
5.695,9045.253,velocity_cmps,cmps,33.4,"9045.253,""cmps"",33.4"
5.706,9045.312,distance_cm,cm,111.3,"9045.312,""cm"",111.3"
5.788,9045.345,velocity_cmps,cmps,48.5,"9045.345,""cmps"",48.5"
5.798,9045.404,distance_cm,cm,111.2,"9045.404,""cm"",111.2"
5.884,9045.437,velocity_cmps,cmps,12.1,"9045.437,""cmps"",12.1"
5.890,9045.496,distance_cm,cm,59.7,"9045.496,""cm"",59.7"
5.971,9045.528,velocity_cmps,cmps,-30.3,"9045.528,""cmps"",-30.3"
5.982,9045.587,distance_cm,cm,68.1,"9045.587,""cm"",68.1"
6.063,9045.620,velocity_cmps,cmps,-39.4,"9045.620,""cmps"",-39.4"
6.074,9045.679,distance_cm,cm,59.7,"9045.679,""cm"",59.7"
6.225,9045.783,velocity_cmps,cmps,12.1,"9045.783,""cmps"",12.1"
6.236,9045.842,distance_cm,cm,111.4,"9045.842,""cm"",111.4"
6.318,9045.875,velocity_cmps,cmps,27.3,"9045.875,""cmps"",27.3"
6.332,9045.934,distance_cm,cm,111.7,"9045.934,""cm"",111.7"
6.410,9045.967,velocity_cmps,cmps,30.3,"9045.967,""cmps"",30.3"
6.421,9046.027,distance_cm,cm,111.5,"9046.027,""cm"",111.5"
6.501,9046.060,velocity_cmps,cmps,24.3,"9046.060,""cmps"",24.3"
6.512,9046.119,distance_cm,cm,59.6,"9046.119,""cm"",59.6"
6.592,9046.151,velocity_cmps,cmps,12.1,"9046.151,""cmps"",12.1"
6.603,9046.210,distance_cm,cm,59.6,"9046.210,""cm"",59.6"
6.683,9046.242,velocity_cmps,cmps,9.1,"9046.242,""cmps"",9.1"
6.694,9046.301,distance_cm,cm,59.6,"9046.301,""cm"",59.6"
6.775,9046.333,velocity_cmps,cmps,-15.2,"9046.333,""cmps"",-15.2"
6.786,9046.392,distance_cm,cm,59.6,"9046.392,""cm"",59.6"
6.866,9046.425,velocity_cmps,cmps,-9.1,"9046.425,""cmps"",-9.1"
6.877,9046.484,distance_cm,cm,59.6,"9046.484,""cm"",59.6"
6.957,9046.516,velocity_cmps,cmps,-18.2,"9046.516,""cmps"",-18.2"
6.968,9046.575,distance_cm,cm,59.7,"9046.575,""cm"",59.7"
7.121,9046.679,velocity_cmps,cmps,-15.2,"9046.679,""cmps"",-15.2"
7.131,9046.738,distance_cm,cm,59.7,"9046.738,""cm"",59.7"
7.213,9046.771,velocity_cmps,cmps,-15.2,"9046.771,""cmps"",-15.2"
7.224,9046.830,distance_cm,cm,59.7,"9046.830,""cm"",59.7"
7.306,9046.863,velocity_cmps,cmps,-12.1,"9046.863,""cmps"",-12.1"
7.316,9046.922,distance_cm,cm,68.1,"9046.922,""cm"",68.1"
7.396,9046.955,velocity_cmps,cmps,-12.1,"9046.955,""cmps"",-12.1"
7.407,9047.012,distance_cm,cm,59.7,"9047.012,""cm"",59.7"
7.489,9047.045,velocity_cmps,cmps,-12.1,"9047.045,""cmps"",-12.1"
7.499,9047.104,distance_cm,cm,59.7,"9047.104,""cm"",59.7"
7.581,9047.137,velocity_cmps,cmps,-12.1,"9047.137,""cmps"",-12.1"
7.592,9047.196,distance_cm,cm,111.5,"9047.196,""cm"",111.5"
7.672,9047.229,velocity_cmps,cmps,-9.1,"9047.229,""cmps"",-9.1"
7.684,9047.288,distance_cm,cm,112.2,"9047.288,""cm"",112.2"
7.766,9047.321,velocity_cmps,cmps,-12.1,"9047.321,""cmps"",-12.1"
7.776,9047.380,distance_cm,cm,112.8,"9047.380,""cm"",112.8"
7.856,9047.413,velocity_cmps,cmps,-12.1,"9047.413,""cmps"",-12.1"
7.868,9047.472,distance_cm,cm,111.9,"9047.472,""cm"",111.9"
7.949,9047.505,velocity_cmps,cmps,-18.2,"9047.505,""cmps"",-18.2"
7.960,9047.564,distance_cm,cm,111.5,"9047.564,""cm"",111.5"
8.044,9047.597,velocity_cmps,cmps,-21.2,"9047.597,""cmps"",-21.2"
8.051,9047.656,distance_cm,cm,111.5,"9047.656,""cm"",111.5"
8.133,9047.689,velocity_cmps,cmps,-27.3,"9047.689,""cmps"",-27.3"
8.144,9047.748,distance_cm,cm,468.4,"9047.748,""cm"",468.4"
8.225,9047.781,velocity_cmps,cmps,-27.3,"9047.781,""cmps"",-27.3"
8.236,9047.840,distance_cm,cm,255.5,"9047.840,""cm"",255.5"
9.807,9049.365,velocity_cmps,cmps,9.1,"9049.365,""cmps"",9.1"
9.818,9049.424,distance_cm,cm,451.4,"9049.424,""cm"",451.4"
9.899,9049.456,velocity_cmps,cmps,15.2,"9049.456,""cmps"",15.2"
9.909,9049.515,distance_cm,cm,451.3,"9049.515,""cm"",451.3"
9.990,9049.548,velocity_cmps,cmps,12.1,"9049.548,""cmps"",12.1"
10.002,9049.607,distance_cm,cm,111.5,"9049.607,""cm"",111.5"
10.082,9049.640,velocity_cmps,cmps,9.1,"9049.640,""cmps"",9.1"
10.093,9049.699,distance_cm,cm,59.7,"9049.699,""cm"",59.7"
10.174,9049.731,velocity_cmps,cmps,-18.2,"9049.731,""cmps"",-18.2"
10.185,9049.790,distance_cm,cm,59.7,"9049.790,""cm"",59.7"
10.267,9049.823,velocity_cmps,cmps,-36.4,"9049.823,""cmps"",-36.4"
10.276,9049.882,distance_cm,cm,59.6,"9049.882,""cm"",59.6"
10.358,9049.915,velocity_cmps,cmps,-21.2,"9049.915,""cmps"",-21.2"
10.368,9049.974,distance_cm,cm,59.7,"9049.974,""cm"",59.7"
10.450,9050.007,velocity_cmps,cmps,-27.3,"9050.007,""cmps"",-27.3"
10.460,9050.066,distance_cm,cm,68.1,"9050.066,""cm"",68.1"
10.542,9050.099,velocity_cmps,cmps,-18.2,"9050.099,""cmps"",-18.2"
10.553,9050.158,distance_cm,cm,111.2,"9050.158,""cm"",111.2"
10.635,9050.191,velocity_cmps,cmps,-36.4,"9050.191,""cmps"",-36.4"
10.645,9050.250,distance_cm,cm,111.4,"9050.250,""cm"",111.4"
10.727,9050.283,velocity_cmps,cmps,-51.6,"9050.283,""cmps"",-51.6"
10.737,9050.342,distance_cm,cm,451.4,"9050.342,""cm"",451.4"
10.818,9050.375,velocity_cmps,cmps,-54.6,"9050.375,""cmps"",-54.6"
10.829,9050.434,distance_cm,cm,451.4,"9050.434,""cm"",451.4"
11.406,9050.964,velocity_cmps,cmps,15.2,"9050.964,""cmps"",15.2"
11.418,9051.023,distance_cm,cm,451.4,"9051.023,""cm"",451.4"
11.498,9051.056,velocity_cmps,cmps,3.0,"9051.056,""cmps"",3.0"
11.509,9051.115,distance_cm,cm,451.3,"9051.115,""cm"",451.3"
11.731,9051.289,velocity_cmps,cmps,9.1,"9051.289,""cmps"",9.1"
11.744,9051.348,distance_cm,cm,112.1,"9051.348,""cm"",112.1"
12.107,9051.664,velocity_cmps,cmps,9.1,"9051.664,""cmps"",9.1"
12.118,9051.723,distance_cm,cm,111.3,"9051.723,""cm"",111.3"
12.197,9051.755,velocity_cmps,cmps,9.1,"9051.755,""cmps"",9.1"
12.207,9051.814,distance_cm,cm,59.7,"9051.814,""cm"",59.7"
12.360,9051.917,velocity_cmps,cmps,-12.1,"9051.917,""cmps"",-12.1"
12.370,9051.976,distance_cm,cm,59.7,"9051.976,""cm"",59.7"
12.452,9052.010,velocity_cmps,cmps,-12.1,"9052.010,""cmps"",-12.1"
